Word,Bengali Meaning,Synonyms,Antonyms,English Definition,Example Sentence,Unit (Lesson)
"Chew","চিবানো / চর্বণ করা","Masticate, Munch, Crunch, Grind","Swallow whole, Gulp, Swallow","To bite and grind food in the mouth with the teeth.","Excusing yourself from the table Being part Of Lhe group Eating food you don 't like Requesting help Staning the meal Body-language Chewing and talking Today we're going to talk about some simple guidelines that will help keep your table manners on-point throughout an entire meal.","Unit 10: Lesson 1 (Manners Around the World)"
"Civilized","সভ্য / মার্জিত / সুসংস্কৃত","Refined, Cultured, Enlightened, Polite, Courteous","Barbaric, Savage, Uncivilized, Primitive","Having an advanced culture, politeness, and refined social manners.","We cannot claim ourselves civilized when we lack them.","Unit 10: Lesson 1 (Manners Around the World)"
"Concerned","উদ্বিগ্ন / চিন্তিত / যত্নবান","Anxious, Worried, Caring, Attentive, Apprehensive","Unconcerned, Indifferent, Carefree, Apathetic","Feeling anxiety or showing thoughtful care about something.","Unit Ten: Lifestyle Lesson 1 Manners Around the World A.","Unit 10: Lesson 1 (Manners Around the World)"
"Conscientious","বিবেকবান / নিষ্ঠাবান / অত্যন্ত সতর্ক","Meticulous, Scrupulous, Diligent, Careful, Dedicated","Careless, Irresponsible, Negligent, Slack","Wishing to do what is right and taking immense care in one's actions.","Unit Ten: Lifestyle Lesson 1 Manners Around the World A.","Unit 10: Lesson 1 (Manners Around the World)"
"Considerate","সুবিবেচক / অন্যের প্রতি যত্নবান / সহানুভূতিশীল","Thoughtful, Mindful, Attentive, Kind, Caring","Inconsiderate, Thoughtless, Selfish, Unkind","Careful not to cause inconvenience or hurt to others.","Unit Ten: Lifestyle Lesson 1 Manners Around the World A.","Unit 10: Lesson 1 (Manners Around the World)"
"Insistent","নাছোড়বান্দা / অবিচল / দৃঢ়প্রতিজ্ঞ","Persistent, Adamant, Firm, Tenacious, Unyielding","Yielding, Flexible, Compliant, Undemanding","Insisting or demanding something firmly; not allowing refusal.","Unit Ten: Lifestyle Lesson 1 Manners Around the World A.","Unit 10: Lesson 1 (Manners Around the World)"
"Posture","দেহভঙ্গি / অঙ্গভঙ্গি / শারীরিক অবস্থান","Stance, Bearing, Pose, Position, Carriage","Slouching, Deformity","The position in which someone holds their body when standing or sitting.","Body language When you're sitting down, your posture should be upright and attentive.","Unit 10: Lesson 1 (Manners Around the World)"
"Potential","সম্ভাব্য / সুপ্ত / ভবিষ্যৎ সম্ভাবনাপূর্ণ","Possible, Prospective, Latent, Probable, Likely","Impossible, Improbable, Actual, Unlikely","Having or showing the capacity to develop into something in the future.","Again, maybe the hiring manager doesn't care if you have bad table manners, but they may worry that your potential clients Will be bothered that you eat like an absent-minded caveman.","Unit 10: Lesson 1 (Manners Around the World)"
"Puff up","ফুলে ওঠা / ফেঁপে ওঠা / স্ফীত হওয়া","Inflate, Swell, Expand, Bloat","Deflate, Shrink, Compress, Flatten","To swell or become larger and fuller.","Unit Ten: Lifestyle Lesson 1 Manners Around the World A.","Unit 10: Lesson 1 (Manners Around the World)"
"Refinement","মার্জিত রূপ / সুরুচি / শিষ্টাচার / পরিশুদ্ধতা","Sophistication, Elegance, Politeness, Cultivation, Polish","Vulgarity, Coarseness, Rudeness, Crudeness","The improvement or clarification of something with elegant taste and manner.","Unit Ten: Lifestyle Lesson 1 Manners Around the World A.","Unit 10: Lesson 1 (Manners Around the World)"
"Adult","প্রাপ্তবয়স্ক","Grown-up, mature person","Juvenile, child, minor, infant","A person who is fully grown or developed, legally aged 18 and over in our society.","Children must pass through several Stages in their lives IO become adults.","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Arise","উদ্ভূত হওয়া / সৃষ্টি হওয়া","Emerge, occur, originate, crop up","Disappear, vanish, cease, end","To originate, emerge, or come into being as a noticeable issue or event.","Parents, members of tbe community, service providers, and social institutions have the responsibility to both promote adolescent development and adjustment and to intervene when problems arise.","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Community","সম্প্রদায় / সমাজ","Society, fellowship, locality, public","Isolation, solitude, individual","A group of people living in the same place or having particular characteristics in common.","Parents, members of tbe community, service providers, and social institutions have the responsibility to both promote adolescent development and adjustment and to intervene when problems arise.","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Considerable","উল্লেখযোগ্য / প্রচুর","Substantial, significant, sizable, noteworthy","Inconsiderable, trivial, insignificant","Notably large in size, amount, extent, or importance.","[Unit 9: Lesson 1]: Unit Nine: Adolescence Lesson 1 Storms and Stresses of Adolescence A.
[Unit 5: Lesson 5]: Frequently, before the child has reached its twelfth month, its mother is taken from it, and hired out on some farm a considerable distance off, and the child is placed under the care of an old woman, too old for field labor.","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Determinant","নির্ধারক / নির্ণায়ক উপাদান","Factor, cause, driver, deciding element","Result, consequence, outcome","A factor or element that decisively determines the nature or outcome of something.","The biological determinants of adolescence are fairly universal: however.","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Economic","অর্থনৈতিক","Financial, monetary, fiscal, commercial","Non-financial, social","Relating to the production, distribution, and consumption of goods, income, and resources.","But, for the most pari, most individuals have to go through these stages irrespective Of their economic or social status.","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Infancy","শিশুকাল / শৈশব","Babyhood, nonage, early childhood, inception","Adulthood, maturity, senescence","The earliest period of childhood development, from birth to age two.","For most people, there are four or five such stages of growth where they learn certain things: infancy (birth to age 2), early childhood (3 to S years), later childhood (9 to 12 years) and adolescence (13 to 18 years).","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Key","মূখ্য / প্রধান","Major, chief, crucial, primary, pivotal","Minor, secondary, trivial","Of crucial importance; serving as the fundamental or chief factor.","Unit Nine: Adolescence Lesson 1 Storms and Stresses of Adolescence A.","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Lifespan","জীবনকাল / পরমায়ু","Lifetime, life expectancy, duration of life","Brevity, instant","The length of time for which a person, animal, or organism lives or functions.","Unit Nine: Adolescence Lesson 1 Storms and Stresses of Adolescence A.","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Negative","নেতিবাচক / ক্ষতিকর","Unenthusiastic, adverse, detrimental, unfavorable","Positive, beneficial, constructive","Consisting in or characterized by the absence rather than the presence of distinguishing features; adverse or harmful.","Unit Nine: Adolescence Lesson 1 Storms and Stresses of Adolescence A.","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Occur","ঘটা / সংঘটিত হওয়া","Take place, happen, transpire, arise","Stop, cease, vanish","To happen, come to pass, or take place naturally.","World Health Organisation (NAIO) identifies adolescence as the period in human growth and development that occurs after childhood and before adulthood.","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Positive","ইতিবাচক / গঠনমূলক","Affirmative, constructive, beneficial, optimistic","Negative, adverse, pessimistic","Constructive, optimistic, or confident; having a good or beneficial effect.","Unit Nine: Adolescence Lesson 1 Storms and Stresses of Adolescence A.","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Reproduction","বংশবৃদ্ধি বা প্রজনন-সংক্রান্ত","Regenerative, procreation, propagation, breeding","Extinction, sterilization","The biological process by which new individual organisms are produced by their parents.","Unit Nine: Adolescence Lesson 1 Storms and Stresses of Adolescence A.","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Several","কয়েকটি / একাধিক","Some, multiple, various, diverse","None, zero, solitary","More than two but not many of something.","Children must pass through several Stages in their lives IO become adults.","Unit 9: Lesson 1 (Storms and Stresses of Adolescence)"
"Ethically","নৈতিকভাবে / ন্যায়সঙ্গতভাবে","Morally, righteously, fairly, legitimately","Unethically, immorally, dishonestly","In a way that avoids activities that harm people or violate moral principles.","Edtech companies play a crucial role in advancing the use of AI in the classroom and ensuring that it is used ethically and responsibly.","Unit 1: Lesson 2 (Education and Technology)"
